id,name,value,lng,lat
16737,通州区中国兵器北机机电HL,94.56650733,116.779761,39.767273
16738,通州区周起营村HL,31.32111832,116.754817,39.728431
16739,通州区黄厂铺村西HL,26.12496418,116.768132,39.727591
16740,通州区小杜社村村北HL,35.62596115,116.650469,39.765451
16741,通州区冯各庄HL,11.98888391,116.834603,39.788902
16742,通州区郎府中学HL,43.69949083,116.826101,39.790411
16743,通州区北大化村南HL,154.450448,116.689501,39.790601
16744,通州区枣林庄东HL,80.51528168,116.732901,39.812831
16745,通州区牛堡屯镇东HL,280.3848707,116.688897,39.763457
16746,通州区王各庄村东北HL,15.47382718,116.727041,39.706755
16747,通州区杜店村HL,23.08485585,116.917037,39.793771
16748,通州区桥上村HL,36.03994858,116.921319,39.786599
16749,通州区望君瞳村南HL,60.56630686,116.854603,39.807648
16750,通州区次渠镇东替换站HL,295.5947028,116.586402,39.795075
16751,通州区双埠头村南HL,39.06283798,116.696381,39.964616
16752,通州区东方百盛HL,84.66906384,116.790021,39.859841
16753,通州区任庄村西南HL,186.0791695,116.743241,39.942729
16754,通州区艺苑东街HL,342.857536,116.665427,39.892912
16755,通州区泰禾一号院一区HL,247.3282134,116.573698,39.814652
16756,通州区泰禾一号院二区HL,99.24626117,116.575233,39.813105
16757,通州区泰禾一号院三区HL,14.58376287,116.572291,39.813051
16758,崇文第一零九中学HL,185.4616317,116.423788,39.886522
16760,西城景山后街西口HLG,291.8740178,116.387793,39.926706
16762,东城和平里北街W10059小灯杆HLG,206.7399183,116.403478,39.957813
16763,东城和平里西街T20026小灯杆HLG,166.6217931,116.412216,39.958928
16764,东城东四三条29号院铁通HL,21.03439002,116.417044,39.925264
16765,东城万国城餐厅楼铁通HL,25.94291163,116.432549,39.946373
16766,东城万国城1号楼铁通小灯杆HLG,66.57511402,116.431708,39.945723
16767,东城万国城洗衣房铁通HL,32.62474511,116.431422,39.947156
16769,通州区科创十七街HL,266.4132747,116.580399,39.777298
16770,通州区亦庄科创十五街HL,189.4093693,116.577995,39.782299
16771,通州区大兴亦庄HL,444.9438927,116.562511,39.793999
16772,通州区东潞苑美食城HL,241.643964,116.667215,39.935104
16773,通州区中仓西营后街HL,213.7079948,116.661796,39.899738
16774,通州区天地美墅西HL,70.21407593,116.644861,39.872114
16775,通州区胡各庄替换站HL,120.1294258,116.730848,39.907869
16777,通州区妇幼保健院HL,45.31893294,116.675303,39.886959
16778,通州区宋庄未来学校中学HL,0,116.677571,39.989716
16779,通州区宋庄尹各庄村西HL,238.6089664,116.642974,39.983467
16780,通州区岳庄村东门HL,138.1056957,116.644661,39.915011
16781,通州区永顺西街68号院HL,276.8194118,116.641605,39.911261
16783,通州区西集金各庄东北HL,166.9252128,116.835426,39.798344
16784,通州区泰禾壹号院HL,217.4389386,116.575942,39.815818
16785,通州区台湖田府HL,578.9456971,116.655451,39.838111
16786,丰台临泓路顺福海运停车场HLG,103.9824026,116.386031,39.844781
16787,丰台京沪高铁主站13DMIMOHL,204.1665753,116.371111,39.859444
16788,丰台京津高铁主站一A3DMIMOHLG,194.0583469,116.377541,39.864951
16789,西城地安门西大街103号HL,135.1248963,116.380132,39.932531
16792,东城十字坡东里5号楼铁通HL,47.45137419,116.433287,39.937963
16793,丰台石榴园北里43号楼HL,229.0720301,116.412722,39.844894
16794,丰台石榴园北里6号楼HL,69.58610326,116.409383,39.848013
16795,东城工体北里3号楼铁通HL,174.0553843,116.437091,39.934005
16797,东城安德里北街21号院西院铁通HL,114.7180424,116.384179,39.958486
16799,东城和平里二区党建箱HL,136.1888217,116.416663,39.956548
16800,东城花梗胡同8号HL,184.0058355,116.407163,39.937125
16802,东城协和明日大厦3DMIMO实验站HL,280.3283541,116.411388,39.909722
16804,西城建筑工程学院图书馆3DMIMO试验站HL,21.17251467,116.336137,39.933157
16805,西城中俊酒店3DMIMO实验站HL,231.2179454,116.338621,39.932661
16806,丰台成寿寺75号HLG,194.8388675,116.437802,39.854324
16809,西城地安门内大街W20006小灯杆HLG,156.9692608,116.390223,39.930057
16810,西城文兴东路3DMIMO实验站HL,274.5423857,116.332856,39.933029
16811,丰台菜户营桥南3DMIMO试验站HLG,288.113622,116.344195,39.866034
16812,东城南锣鼓巷西侧3DMIMO实验站HL,156.3659553,116.399146,39.935501
16820,大兴4G兴旺路西兴旺公园1H,34.75759445,116.312461,39.732001
16821,大兴4G市政路桥研发中心西1H,137.6459984,116.346491,39.695166
16822,大兴4G西红门月桂庄园25号楼1H,28.51609535,116.332065,39.786049
16823,大兴4G郁花园三里2号楼1H,497.5163558,116.327783,39.771036
16826,平谷铁塔大峪子村东HL,51.00843434,117.045744,40.272278
16827,平谷铁塔崔家庄村东南HL,60.48095953,117.064309,40.089761
16828,平谷铁塔侯家庄村HL,76.74981942,117.054177,40.086077
16829,平谷4G大旺务1H,28.13040605,117.134707,40.078995
16830,平谷4G旺旺食品厂南1H,142.869355,117.131227,40.153983
16831,平谷4G紫翔商城1H,41.84509372,117.112832,40.142574
16832,平谷4G贵都会馆1H,54.80797581,117.116915,40.158951
16833,平谷4G大市场1H,68.3953362,117.107942,40.144732
16835,大兴魏善庄魏庄东侧HLG,112.5282386,116.396454,39.622242
16836,大兴安定供销社HLG,402.2799699,116.486958,39.617368
16837,大兴石化学院MIMO实验站HL,167.6839738,116.320044,39.745992
16838,大兴魏善庄羊坊村北HLG,32.53370129,116.426052,39.692927
16839,大兴榆垡回迁房南HLG,107.9449972,116.296725,39.509473
16840,大兴长子营赤鲁村东北HLG,40.80459819,116.569937,39.629833
16841,大兴礼贤伍各庄村HLG,34.58450305,116.431619,39.569351
16842,大兴装订厂F频MIMO试验站HLG,0,116.292992,39.749561
16843,大兴狼各庄东村MIMO试验站HLG,159.4380476,116.340097,39.665492
16844,大兴德南路东口MIMO试验站HLG,245.4987184,116.403685,39.774236
16845,大兴刘村北MIMO试验站HLG,0,116.371886,39.720094
16846,大兴黄村清源东里2号楼HL,104.8231302,116.334757,39.743394
16847,大兴龙河路北口2号HL,90.01042775,116.337184,39.740757
16848,大兴礼贤竹林精舍谢园HLG,64.5993488,116.365716,39.55586
16849,大兴周园子村东侧HLG,8.458495481,116.522737,39.599763
16850,大兴月桂庄园1号楼HL,19.64774465,116.332536,39.784003
16851,大兴大生庄村东北HLG,32.96071241,116.40482,39.770011
16852,大兴榆垡回迁房北侧HLG,279.9163583,116.297567,39.524006
16853,大兴4G青岛嘉园20号楼1H,85.93735469,116.322502,39.770012
16854,大兴邢各庄F频MIMO试验站HLG,0,116.373014,39.709489
