name,lng,lat,9M5g_yonghushu,9M5g_liuliang,9M4g_liuliang,9MSite_zhuliubi,9M_fugailv,9M_tousu,12M5g_yonghushu,12M5g_liuliang,12M4g_liuliang,12MSite_zhuliubi,12M_fugailv,12M_tousu,归属区域名称,
顺义5G国门智慧城4HM,116.55302,40.11728,2,0,55.36,0.0000 ,1.0000 ,,8,0,2.72144315,0.0000 ,1.0000 ,,,
城三5G海淀东小营村南1Z,116.201515,40.117205,2784,0.96,0.02,0.9812 ,0.9982 ,,3137,73.23,0.016475081,1.0000 ,0.9530 ,,,
昌平5G北七家未来科技城和颐酒店1ZM,116.440191,40.116771,0,0,23.03,0.0000 ,,,0,0,0.767039179,0.0000 ,1.0000 ,,,
顺义5G国航飞行训练中心1H,116.548781,40.116305,1450,17.92,46.48,0.2782 ,0.9804 ,,2306,26.14,1.536129938,0.9440 ,0.9760 ,,,
昌平5G奥北宝迪酒店1ZM,116.40841,40.11576,0,0,12.77,0.0000 ,,,0,0,1.251196329,0.0000 ,1.0000 ,,,
城三5G海淀二六一医院1Z,116.213517,40.115483,101,1.92,0.38,0.8358 ,0.9841 ,,2157,19.22,0.165402669,0.9910 ,0.9610 ,,,
昌平5G北七家物美大卖场1ZM,116.406801,40.115481,0,0,16.05,0.0000 ,,,0,0,1.451029012,0.0000 ,0.9920 ,,,
顺义5G仁和镇中海国际公馆北区商业楼1HM,116.63419,40.11544,0,0,28.92,0.0000 ,,,0,0,2.821417306,0.0000 ,1.0000 ,,,
顺义5G仁和镇中海国际公馆北区商业楼2HM,116.63419,40.11544,0,0,28.92,0.0000 ,,,0,0,2.821417306,0.0000 ,0.9900 ,,,
顺义5G仁和镇中海国际公馆北区商业楼3HM,116.63419,40.11544,0,0,28.92,0.0000 ,,,0,0,2.821417306,0.0000 ,0.9900 ,,,
顺义5G仁和镇中海国际公馆北区商业楼4HM,116.63419,40.11544,0,0,28.92,0.0000 ,,,0,0,2.821417306,0.0000 ,0.9910 ,,,
顺义5G仁和镇中海国际公馆北区商业楼5HM,116.63419,40.11544,0,0,28.92,0.0000 ,,,0,0,2.821417306,0.0000 ,0.9900 ,,,
昌平5G白各庄商业中心1Z,116.351362,40.114846,0,0,4.2,0.0000 ,,,0,0,1.385232501,0.0000 ,0.9900 ,,,
昌平5G宏福苑北区1Z,116.361954,40.114742,2556,15.8,3.23,0.8301 ,1.0000 ,,1563,30.01,0.239673282,0.9920 ,0.9680 ,,,
城三5G海淀上庄中心小学西北1Z,116.20633,40.11463,0,0,1.01,0.0000 ,,,0,0,0.903351592,0.0000 ,0.9900 ,,,
昌平5G宏福苑东北1Z,116.37245,40.11445,3769,1.74,1.15,0.6020 ,1.0000 ,,2142,17.32,0.222883275,0.9870 ,0.9720 ,,,
昌平5G苍龙街西南飞箱1Z,116.365918,40.114393,1822,9.67,8.03,0.5464 ,0.9832 ,,1020,6.1,0.847971238,0.8780 ,0.9700 ,,,
城三5G海淀后沙涧东侧绿地1Z,116.149808,40.114381,0,0,2.42,0.0000 ,,,872,1.65,0.08934743,0.9480 ,0.9900 ,,,
顺义5G石园北区一区23号楼2H,116.658901,40.114341,1003,15.59,36.75,0.2978 ,0.9905 ,,0,0,2.179608357,0.0000 ,0.9970 ,,,
顺义5G公安局新楼1HM,116.643287,40.114068,0,0,30.76,0.0000 ,,,12,0.04,2.490418611,0.0160 ,1.0000 ,,,
